DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,Lat,Lng,Date
43.8,2016,10,21,24,0,LAX Hastings,33.95507,-118.43049,10/21/2016
26.8,2016,10,27,24,0,LAX Hastings,33.95507,-118.43049,10/27/2016
48.5,2016,11,2,24,0,LAX Hastings,33.95507,-118.43049,11/2/2016
63.6,2016,11,8,24,0,LAX Hastings,33.95507,-118.43049,11/8/2016
37.4,2016,11,14,24,0,LAX Hastings,33.95507,-118.43049,11/14/2016
30.9,2016,11,20,24,0,LAX Hastings,33.95507,-118.43049,11/20/2016
36.7,2016,11,26,24,0,LAX Hastings,33.95507,-118.43049,11/26/2016
43.8,2016,12,2,24,0,LAX Hastings,33.95507,-118.43049,12/2/2016
35,2016,12,8,24,0,LAX Hastings,33.95507,-118.43049,12/8/2016
38.6,2016,12,14,24,0,LAX Hastings,33.95507,-118.43049,12/14/2016
33.3,2016,12,21,24,0,LAX Hastings,33.95507,-118.43049,12/21/2016
27,2016,12,26,24,0,LAX Hastings,33.95507,-118.43049,12/26/2016
61.8,2018,1,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
61.8,2018,1,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
35,2018,1,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
35,2018,1,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
45.8,2018,1,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
45.8,2018,1,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
15.4,2018,1,20,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
15.4,2018,1,20,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
43.1,2018,1,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
43.1,2018,1,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
67.8,2018,2,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
67.8,2018,2,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
54.9,2018,2,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
54.9,2018,2,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
42,2018,2,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
42,2018,2,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
8.1,2018,2,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
8.1,2018,2,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
33.5,2018,2,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
