DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
7.5,2016,2,3,23,0,Millbrook School,35.856111,-78.574167,2/3/2016
20.7,2016,2,6,23,0,Millbrook School,35.856111,-78.574167,2/6/2016
20.7,2016,2,6,23,0,Millbrook School,35.856111,-78.574167,2/6/2016
17.1,2016,2,9,23,0,Millbrook School,35.856111,-78.574167,2/9/2016
21.8,2016,2,12,19,0,Millbrook School,35.856111,-78.574167,2/12/2016
21.8,2016,2,12,19,0,Millbrook School,35.856111,-78.574167,2/12/2016
7.4,2016,2,15,23,0,Millbrook School,35.856111,-78.574167,2/15/2016
22.6,2016,2,18,23,0,Millbrook School,35.856111,-78.574167,2/18/2016
22.6,2016,2,18,23,0,Millbrook School,35.856111,-78.574167,2/18/2016
10.4,2016,2,21,23,0,Millbrook School,35.856111,-78.574167,2/21/2016
6.7,2016,2,24,23,0,Millbrook School,35.856111,-78.574167,2/24/2016
6.7,2016,2,24,23,0,Millbrook School,35.856111,-78.574167,2/24/2016
31.7,2016,2,27,23,0,Millbrook School,35.856111,-78.574167,2/27/2016
29.7,2016,3,4,23,0,Millbrook School,35.856111,-78.574167,3/4/2016
19.5,2016,3,7,23,0,Millbrook School,35.856111,-78.574167,3/7/2016
19.5,2016,3,7,23,0,Millbrook School,35.856111,-78.574167,3/7/2016
13.1,2016,3,10,23,0,Millbrook School,35.856111,-78.574167,3/10/2016
7,2016,3,13,23,0,Millbrook School,35.856111,-78.574167,3/13/2016
7,2016,3,13,23,0,Millbrook School,35.856111,-78.574167,3/13/2016
14.8,2016,3,19,23,0,Millbrook School,35.856111,-78.574167,3/19/2016
14.8,2016,3,19,23,0,Millbrook School,35.856111,-78.574167,3/19/2016
26.4,2016,3,22,23,0,Millbrook School,35.856111,-78.574167,3/22/2016
18,2016,3,25,23,0,Millbrook School,35.856111,-78.574167,3/25/2016
18,2016,3,25,23,0,Millbrook School,35.856111,-78.574167,3/25/2016
13.3,2016,3,28,23,0,Millbrook School,35.856111,-78.574167,3/28/2016
11.5,2016,3,31,23,0,Millbrook School,35.856111,-78.574167,3/31/2016
11.5,2016,3,31,23,0,Millbrook School,35.856111,-78.574167,3/31/2016
20.8,2016,4,3,23,0,Millbrook School,35.856111,-78.574167,4/3/2016
22.5,2016,4,6,23,0,Millbrook School,35.856111,-78.574167,4/6/2016
22.5,2016,4,6,23,0,Millbrook School,35.856111,-78.574167,4/6/2016
5.6,2016,4,9,23,0,Millbrook School,35.856111,-78.574167,4/9/2016
14.7,2016,4,12,23,0,Millbrook School,35.856111,-78.574167,4/12/2016
14.7,2016,4,12,23,0,Millbrook School,35.856111,-78.574167,4/12/2016
52.6,2016,4,18,23,0,Millbrook School,35.856111,-78.574167,4/18/2016
52.6,2016,4,18,23,0,Millbrook School,35.856111,-78.574167,4/18/2016
11.3,2016,4,21,23,0,Millbrook School,35.856111,-78.574167,4/21/2016
19.1,2016,4,24,23,0,Millbrook School,35.856111,-78.574167,4/24/2016
19.1,2016,4,24,23,0,Millbrook School,35.856111,-78.574167,4/24/2016
12.2,2016,4,27,19,0,Millbrook School,35.856111,-78.574167,4/27/2016
5.1,2016,4,30,23,0,Millbrook School,35.856111,-78.574167,4/30/2016
5.1,2016,4,30,23,0,Millbrook School,35.856111,-78.574167,4/30/2016
15.2,2016,5,3,23,0,Millbrook School,35.856111,-78.574167,5/3/2016
27.7,2016,5,6,23,0,Millbrook School,35.856111,-78.574167,5/6/2016
27.7,2016,5,6,23,0,Millbrook School,35.856111,-78.574167,5/6/2016
5.2,2016,5,12,19,0,Millbrook School,35.856111,-78.574167,5/12/2016
5.2,2016,5,12,19,0,Millbrook School,35.856111,-78.574167,5/12/2016
18.5,2016,5,15,23,0,Millbrook School,35.856111,-78.574167,5/15/2016
3.9,2016,5,18,23,0,Millbrook School,35.856111,-78.574167,5/18/2016
3.9,2016,5,18,23,0,Millbrook School,35.856111,-78.574167,5/18/2016
4.2,2016,5,21,23,0,Millbrook School,35.856111,-78.574167,5/21/2016
11.7,2016,6,8,19,0,Millbrook School,35.856111,-78.574167,6/8/2016
16,2016,6,11,23,0,Millbrook School,35.856111,-78.574167,6/11/2016
16,2016,6,11,23,0,Millbrook School,35.856111,-78.574167,6/11/2016
16.8,2016,6,14,23,0,Millbrook School,35.856111,-78.574167,6/14/2016
6,2016,6,17,23,0,Millbrook School,35.856111,-78.574167,6/17/2016
6,2016,6,17,23,0,Millbrook School,35.856111,-78.574167,6/17/2016
13.7,2016,6,26,23,0,Millbrook School,35.856111,-78.574167,6/26/2016
6.5,2016,6,29,23,0,Millbrook School,35.856111,-78.574167,6/29/2016
6.5,2016,6,29,23,0,Millbrook School,35.856111,-78.574167,6/29/2016
6.7,2016,7,2,23,0,Millbrook School,35.856111,-78.574167,7/2/2016
6.9,2016,7,8,23,0,Millbrook School,35.856111,-78.574167,7/8/2016
10.2,2016,7,11,23,0,Millbrook School,35.856111,-78.574167,7/11/2016
13.2,2016,7,14,23,0,Millbrook School,35.856111,-78.574167,7/14/2016
13.2,2016,7,14,23,0,Millbrook School,35.856111,-78.574167,7/14/2016
9.5,2016,7,15,23,0,Millbrook School,35.856111,-78.574167,7/15/2016
12.2,2016,7,17,23,0,Millbrook School,35.856111,-78.574167,7/17/2016
