DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
7,2016,9,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/27/2016
13,2016,9,28,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/28/2016
33,2016,9,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/29/2016
11,2016,9,30,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/30/2016
10,2016,10,1,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/1/2016
9,2016,10,2,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/2/2016
23,2016,10,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/3/2016
9,2016,10,7,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/7/2016
8,2016,10,8,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/8/2016
12,2016,10,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/9/2016
10,2016,10,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/10/2016
9,2016,10,11,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/11/2016
8,2016,10,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/12/2016
12,2016,10,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/13/2016
13,2016,10,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/14/2016
14,2016,10,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/15/2016
13,2016,10,16,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/16/2016
22,2016,10,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/17/2016
14,2016,10,18,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/18/2016
5,2016,10,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/19/2016
11,2016,10,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/20/2016
11,2016,10,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/25/2016
11,2016,10,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/26/2016
18,2016,10,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/27/2016
15,2016,10,28,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/28/2016
13,2016,10,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/29/2016
16,2016,10,30,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/30/2016
10,2016,10,31,1,0,Cheyenne NCore,41.18222711,-104.7783342,10/31/2016
18,2016,11,1,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/1/2016
9,2016,11,2,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/2/2016
10,2016,11,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/3/2016
26,2016,11,4,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/4/2016
18,2016,11,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/5/2016
8,2016,11,6,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/6/2016
15,2016,11,7,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/7/2016
21,2016,11,8,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/8/2016
15,2016,11,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/9/2016
16,2016,11,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/10/2016
25,2016,11,11,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/11/2016
15,2016,11,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/12/2016
13,2016,11,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/13/2016
11,2016,11,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/14/2016
19,2016,11,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/15/2016
18,2016,11,16,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/16/2016
8,2016,11,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/17/2016
9,2016,11,18,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/18/2016
14,2016,11,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/19/2016
5,2016,11,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/20/2016
12,2016,11,21,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/21/2016
4,2016,11,22,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/22/2016
8,2016,11,23,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/23/2016
7,2016,11,24,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/24/2016
11,2016,11,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/25/2016
11,2016,11,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/26/2016
6,2016,11,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/27/2016
7,2016,11,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/29/2016
5,2016,11,30,1,0,Cheyenne NCore,41.18222711,-104.7783342,11/30/2016
6,2016,12,1,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/1/2016
10,2016,12,2,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/2/2016
8,2016,12,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/3/2016
6,2016,12,4,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/4/2016
6,2016,12,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/5/2016
15,2016,12,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/9/2016
8,2016,12,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/10/2016
2,2016,12,11,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/11/2016
5,2016,12,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/12/2016
4,2016,12,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,12/13/2016
