Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
33,0.036,17,2016,2,24,Long Beach (Hudson),33.8025,-118.22,2/24/2016
36,0.039,17,2016,3,1,Long Beach (Hudson),33.8025,-118.22,3/1/2016
33,0.036,17,2016,3,7,Long Beach (Hudson),33.8025,-118.22,3/7/2016
34,0.037,17,2016,3,13,Long Beach (Hudson),33.8025,-118.22,3/13/2016
46,0.05,17,2016,3,19,Long Beach (Hudson),33.8025,-118.22,3/19/2016
39,0.042,17,2016,3,25,Long Beach (Hudson),33.8025,-118.22,3/25/2016
34,0.037,17,2016,3,31,Long Beach (Hudson),33.8025,-118.22,3/31/2016
28,0.03,17,2016,4,6,Long Beach (Hudson),33.8025,-118.22,4/6/2016
27,0.029,17,2016,4,12,Long Beach (Hudson),33.8025,-118.22,4/12/2016
45,0.049,17,2016,4,18,Long Beach (Hudson),33.8025,-118.22,4/18/2016
43,0.046,17,2016,4,24,Long Beach (Hudson),33.8025,-118.22,4/24/2016
42,0.045,17,2016,4,30,Long Beach (Hudson),33.8025,-118.22,4/30/2016
32,0.035,17,2016,5,6,Long Beach (Hudson),33.8025,-118.22,5/6/2016
36,0.039,17,2016,5,12,Long Beach (Hudson),33.8025,-118.22,5/12/2016
34,0.037,17,2016,5,18,Long Beach (Hudson),33.8025,-118.22,5/18/2016
26,0.028,17,2016,5,24,Long Beach (Hudson),33.8025,-118.22,5/24/2016
40,0.043,17,2016,5,30,Long Beach (Hudson),33.8025,-118.22,5/30/2016
31,0.034,17,2016,6,5,Long Beach (Hudson),33.8025,-118.22,6/5/2016
28,0.03,17,2016,6,11,Long Beach (Hudson),33.8025,-118.22,6/11/2016
51,0.055,17,2016,6,17,Long Beach (Hudson),33.8025,-118.22,6/17/2016
27,0.029,17,2016,6,23,Long Beach (Hudson),33.8025,-118.22,6/23/2016
32,0.035,17,2016,6,29,Long Beach (Hudson),33.8025,-118.22,6/29/2016
37,0.04,17,2016,7,5,Long Beach (Hudson),33.8025,-118.22,7/5/2016
32,0.035,17,2016,7,11,Long Beach (Hudson),33.8025,-118.22,7/11/2016
38,0.041,14,2016,7,17,Long Beach (Hudson),33.8025,-118.22,7/17/2016
34,0.037,14,2016,7,23,Long Beach (Hudson),33.8025,-118.22,7/23/2016
31,0.034,17,2016,7,29,Long Beach (Hudson),33.8025,-118.22,7/29/2016
29,0.031,14,2016,8,4,Long Beach (Hudson),33.8025,-118.22,8/4/2016
39,0.042,14,2016,8,10,Long Beach (Hudson),33.8025,-118.22,8/10/2016
32,0.035,14,2016,8,16,Long Beach (Hudson),33.8025,-118.22,8/16/2016
29,0.031,14,2016,8,22,Long Beach (Hudson),33.8025,-118.22,8/22/2016
38,0.041,14,2016,8,28,Long Beach (Hudson),33.8025,-118.22,8/28/2016
31,0.034,17,2016,9,3,Long Beach (Hudson),33.8025,-118.22,9/3/2016
34,0.037,17,2016,9,9,Long Beach (Hudson),33.8025,-118.22,9/9/2016
26,0.028,17,2016,9,15,Long Beach (Hudson),33.8025,-118.22,9/15/2016
30,0.032,17,2016,9,21,Long Beach (Hudson),33.8025,-118.22,9/21/2016
41,0.044,17,2016,9,27,Long Beach (Hudson),33.8025,-118.22,9/27/2016
32,0.035,17,2016,10,3,Long Beach (Hudson),33.8025,-118.22,10/3/2016
64,0.059,17,2016,10,9,Long Beach (Hudson),33.8025,-118.22,10/9/2016
19,0.021,17,2016,10,15,Long Beach (Hudson),33.8025,-118.22,10/15/2016
8,0.009,17,2016,10,27,Long Beach (Hudson),33.8025,-118.22,10/27/2016
30,0.032,17,2016,11,8,Long Beach (Hudson),33.8025,-118.22,11/8/2016
20,0.022,17,2016,11,14,Long Beach (Hudson),33.8025,-118.22,11/14/2016
23,0.025,17,2016,11,20,Long Beach (Hudson),33.8025,-118.22,11/20/2016
