Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
47,0.051,17,2018,8,9,Newark Firehouse,40.720989,-74.192892,8/9/2018
47,0.051,17,2018,8,12,Newark Firehouse,40.720989,-74.192892,8/12/2018
43,0.046,17,2018,8,15,Newark Firehouse,40.720989,-74.192892,8/15/2018
41,0.044,17,2018,8,18,Newark Firehouse,40.720989,-74.192892,8/18/2018
22,0.024,17,2018,8,21,Newark Firehouse,40.720989,-74.192892,8/21/2018
50,0.054,17,2018,8,24,Newark Firehouse,40.720989,-74.192892,8/24/2018
58,0.057,17,2018,8,27,Newark Firehouse,40.720989,-74.192892,8/27/2018
38,0.041,17,2018,8,30,Newark Firehouse,40.720989,-74.192892,8/30/2018
34,0.037,17,2018,9,2,Newark Firehouse,40.720989,-74.192892,9/2/2018
44,0.048,17,2018,9,5,Newark Firehouse,40.720989,-74.192892,9/5/2018
21,0.023,17,2018,9,8,Newark Firehouse,40.720989,-74.192892,9/8/2018
5,0.005,17,2018,9,11,Newark Firehouse,40.720989,-74.192892,9/11/2018
14,0.015,17,2018,9,14,Newark Firehouse,40.720989,-74.192892,9/14/2018
18,0.019,17,2018,9,17,Newark Firehouse,40.720989,-74.192892,9/17/2018
19,0.021,17,2018,9,20,Newark Firehouse,40.720989,-74.192892,9/20/2018
18,0.019,17,2018,9,23,Newark Firehouse,40.720989,-74.192892,9/23/2018
26,0.028,17,2018,9,26,Newark Firehouse,40.720989,-74.192892,9/26/2018
34,0.037,17,2018,9,29,Newark Firehouse,40.720989,-74.192892,9/29/2018
36,0.039,17,2018,10,2,Newark Firehouse,40.720989,-74.192892,10/2/2018
21,0.023,17,2018,10,5,Newark Firehouse,40.720989,-74.192892,10/5/2018
5,0.005,17,2018,10,8,Newark Firehouse,40.720989,-74.192892,10/8/2018
18,0.019,17,2018,10,11,Newark Firehouse,40.720989,-74.192892,10/11/2018
28,0.03,17,2018,10,17,Newark Firehouse,40.720989,-74.192892,10/17/2018
25,0.027,17,2018,10,20,Newark Firehouse,40.720989,-74.192892,10/20/2018
30,0.032,17,2018,10,23,Newark Firehouse,40.720989,-74.192892,10/23/2018
23,0.025,17,2018,10,26,Newark Firehouse,40.720989,-74.192892,10/26/2018
19,0.021,17,2018,10,29,Newark Firehouse,40.720989,-74.192892,10/29/2018
28,0.03,17,2018,11,1,Newark Firehouse,40.720989,-74.192892,11/1/2018
23,0.025,17,2018,11,4,Newark Firehouse,40.720989,-74.192892,11/4/2018
23,0.025,17,2018,11,7,Newark Firehouse,40.720989,-74.192892,11/7/2018
28,0.03,17,2018,11,10,Newark Firehouse,40.720989,-74.192892,11/10/2018
23,0.025,17,2018,11,13,Newark Firehouse,40.720989,-74.192892,11/13/2018
26,0.028,17,2018,11,16,Newark Firehouse,40.720989,-74.192892,11/16/2018
12,0.013,17,2018,11,19,Newark Firehouse,40.720989,-74.192892,11/19/2018
