year,month,day,weight,pollutant-name
2015,03,26,11,0.037
2015,03,26,11,0.037
2015,03,26,11,0.037
2015,03,26,11,0.037
2015,03,27,3,0.034
2015,03,27,3,0.034
2015,03,27,3,0.034
2015,03,27,3,0.034
2015,03,28,11,0.046
2015,03,28,11,0.046
2015,03,28,11,0.046
2015,03,28,11,0.046
2015,03,29,9,0.048
2015,03,29,9,0.048
2015,03,29,9,0.048
2015,03,29,9,0.048
2015,03,30,13,0.045
2015,03,30,13,0.045
2015,03,30,13,0.045
2015,03,30,13,0.045
2015,03,31,11,0.053
2015,03,31,11,0.053
2015,03,31,11,0.053
2015,03,31,11,0.053
2015,04,01,10,0.046
2015,04,01,10,0.046
2015,04,01,10,0.046
2015,04,01,10,0.046
2015,04,02,10,0.051
2015,04,02,10,0.051
2015,04,02,10,0.051
2015,04,02,10,0.051
2015,04,03,10,0.044
2015,04,03,10,0.044
2015,04,03,10,0.044
2015,04,03,10,0.044
2015,04,04,10,0.045
2015,04,04,10,0.045
2015,04,04,10,0.045
2015,04,04,10,0.045
2015,04,05,10,0.048
2015,04,05,10,0.048
2015,04,05,10,0.048
2015,04,05,10,0.048
2015,04,06,9,0.046
2015,04,06,9,0.046
2015,04,06,9,0.046
2015,04,06,9,0.046
2015,04,07,9,0.035
2015,04,07,9,0.035
2015,04,07,9,0.035
2015,04,07,9,0.035
2015,04,08,10,0.042
2015,04,08,10,0.042
2015,04,08,10,0.042
2015,04,08,10,0.042
2015,04,09,13,0.03
2015,04,09,13,0.03
2015,04,09,13,0.03
2015,04,09,13,0.03
2015,04,10,11,0.037
2015,04,10,11,0.037
2015,04,10,11,0.037
2015,04,10,11,0.037
2015,04,11,10,0.053
2015,04,11,10,0.053
2015,04,11,10,0.053
2015,04,11,10,0.053
2015,04,12,9,0.052
2015,04,12,9,0.052
2015,04,12,9,0.052
2015,04,12,9,0.052
2015,04,13,9,0.051
2015,04,13,9,0.051
2015,04,13,9,0.051
2015,04,13,9,0.051
2015,04,14,23,0.035
2015,04,14,23,0.035
2015,04,14,23,0.035
2015,04,14,23,0.035
2015,04,15,0,0.034
2015,04,15,0,0.034
2015,04,15,0,0.034
2015,04,15,0,0.034
2015,04,16,9,0.036
2015,04,16,9,0.036
2015,04,16,9,0.036
2015,04,16,9,0.036
2015,04,17,10,0.041
2015,04,17,10,0.041
2015,04,17,10,0.041
2015,04,17,10,0.041
2015,04,18,9,0.041
2015,04,18,9,0.041
2015,04,18,9,0.041
2015,04,18,9,0.041
2015,04,19,10,0.033
2015,04,19,10,0.033
2015,04,19,10,0.033
2015,04,19,10,0.033
2015,04,20,8,0.036
2015,04,20,8,0.036
2015,04,20,8,0.036
2015,04,20,8,0.036
2015,04,21,10,0.047
2015,04,21,10,0.047
2015,04,21,10,0.047
2015,04,21,10,0.047
2015,04,22,10,0.054
2015,04,22,10,0.054
2015,04,22,10,0.054
2015,04,22,10,0.054
2015,04,23,11,0.056
2015,04,23,11,0.056
2015,04,23,11,0.056
2015,04,23,11,0.056
2015,04,24,10,0.057
