NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
9,10.3,23,2016,10,2,Cheyenne NCore,41.18222711,-104.7783342,10/2/2016
17,18.6,23,2016,10,3,Cheyenne NCore,41.18222711,-104.7783342,10/3/2016
34,36.5,23,2016,10,7,Cheyenne NCore,41.18222711,-104.7783342,10/7/2016
19,20.9,24,2016,10,8,Cheyenne NCore,41.18222711,-104.7783342,10/8/2016
18,19.5,22,2016,10,9,Cheyenne NCore,41.18222711,-104.7783342,10/9/2016
5,5,24,2016,10,10,Cheyenne NCore,41.18222711,-104.7783342,10/10/2016
4,4.2,23,2016,10,11,Cheyenne NCore,41.18222711,-104.7783342,10/11/2016
25,26.7,24,2016,10,12,Cheyenne NCore,41.18222711,-104.7783342,10/12/2016
22,23,23,2016,10,13,Cheyenne NCore,41.18222711,-104.7783342,10/13/2016
25,26.5,24,2016,10,14,Cheyenne NCore,41.18222711,-104.7783342,10/14/2016
9,10.5,23,2016,10,15,Cheyenne NCore,41.18222711,-104.7783342,10/15/2016
14,15.5,23,2016,10,16,Cheyenne NCore,41.18222711,-104.7783342,10/16/2016
12,13.6,23,2016,10,17,Cheyenne NCore,41.18222711,-104.7783342,10/17/2016
21,22.2,24,2016,10,18,Cheyenne NCore,41.18222711,-104.7783342,10/18/2016
6,6.8,23,2016,10,19,Cheyenne NCore,41.18222711,-104.7783342,10/19/2016
25,27.7,24,2016,10,20,Cheyenne NCore,41.18222711,-104.7783342,10/20/2016
5,5.9,23,2016,10,25,Cheyenne NCore,41.18222711,-104.7783342,10/25/2016
25,27.3,24,2016,10,26,Cheyenne NCore,41.18222711,-104.7783342,10/26/2016
23,24.1,23,2016,10,27,Cheyenne NCore,41.18222711,-104.7783342,10/27/2016
28,30.8,24,2016,10,28,Cheyenne NCore,41.18222711,-104.7783342,10/28/2016
12,13.9,23,2016,10,29,Cheyenne NCore,41.18222711,-104.7783342,10/29/2016
18,19.3,23,2016,10,30,Cheyenne NCore,41.18222711,-104.7783342,10/30/2016
8,8.7,23,2016,10,31,Cheyenne NCore,41.18222711,-104.7783342,10/31/2016
11,12.7,24,2016,11,1,Cheyenne NCore,41.18222711,-104.7783342,11/1/2016
25,26,23,2016,11,2,Cheyenne NCore,41.18222711,-104.7783342,11/2/2016
25,27,24,2016,11,3,Cheyenne NCore,41.18222711,-104.7783342,11/3/2016
23,24.1,23,2016,11,4,Cheyenne NCore,41.18222711,-104.7783342,11/4/2016
13,14.3,24,2016,11,5,Cheyenne NCore,41.18222711,-104.7783342,11/5/2016
6,6.5,22,2016,11,6,Cheyenne NCore,41.18222711,-104.7783342,11/6/2016
13,14.8,24,2016,11,7,Cheyenne NCore,41.18222711,-104.7783342,11/7/2016
22,23.3,23,2016,11,8,Cheyenne NCore,41.18222711,-104.7783342,11/8/2016
22,23.6,24,2016,11,9,Cheyenne NCore,41.18222711,-104.7783342,11/9/2016
8,8.5,23,2016,11,10,Cheyenne NCore,41.18222711,-104.7783342,11/10/2016
29,31.5,24,2016,11,11,Cheyenne NCore,41.18222711,-104.7783342,11/11/2016
25,26.3,23,2016,11,12,Cheyenne NCore,41.18222711,-104.7783342,11/12/2016
4,4.3,23,2016,11,13,Cheyenne NCore,41.18222711,-104.7783342,11/13/2016
3,3.1,23,2016,11,14,Cheyenne NCore,41.18222711,-104.7783342,11/14/2016
24,25.4,24,2016,11,15,Cheyenne NCore,41.18222711,-104.7783342,11/15/2016
26,28.2,23,2016,11,16,Cheyenne NCore,41.18222711,-104.7783342,11/16/2016
1,1.9,24,2016,11,17,Cheyenne NCore,41.18222711,-104.7783342,11/17/2016
28,30.4,23,2016,11,18,Cheyenne NCore,41.18222711,-104.7783342,11/18/2016
31,33.2,24,2016,11,19,Cheyenne NCore,41.18222711,-104.7783342,11/19/2016
18,19,22,2016,11,20,Cheyenne NCore,41.18222711,-104.7783342,11/20/2016
10,11.8,23,2016,11,21,Cheyenne NCore,41.18222711,-104.7783342,11/21/2016
3,3.8,23,2016,11,22,Cheyenne NCore,41.18222711,-104.7783342,11/22/2016
19,20.3,24,2016,11,23,Cheyenne NCore,41.18222711,-104.7783342,11/23/2016
13,14.8,23,2016,11,24,Cheyenne NCore,41.18222711,-104.7783342,11/24/2016
14,15.8,24,2016,11,25,Cheyenne NCore,41.18222711,-104.7783342,11/25/2016
22,23.6,23,2016,11,26,Cheyenne NCore,41.18222711,-104.7783342,11/26/2016
14,15.5,23,2016,11,27,Cheyenne NCore,41.18222711,-104.7783342,11/27/2016
0,0.9,24,2016,11,29,Cheyenne NCore,41.18222711,-104.7783342,11/29/2016
4,4.5,23,2016,11,30,Cheyenne NCore,41.18222711,-104.7783342,11/30/2016
10,11.3,24,2016,12,1,Cheyenne NCore,41.18222711,-104.7783342,12/1/2016
13,14,23,2016,12,2,Cheyenne NCore,41.18222711,-104.7783342,12/2/2016
15,16.2,24,2016,12,3,Cheyenne NCore,41.18222711,-104.7783342,12/3/2016
4,4,22,2016,12,4,Cheyenne NCore,41.18222711,-104.7783342,12/4/2016
3,3.6,24,2016,12,5,Cheyenne NCore,41.18222711,-104.7783342,12/5/2016
37,39.2,23,2016,12,9,Cheyenne NCore,41.18222711,-104.7783342,12/9/2016
30,32,23,2016,12,10,Cheyenne NCore,41.18222711,-104.7783342,12/10/2016
6,6,22,2016,12,11,Cheyenne NCore,41.18222711,-104.7783342,12/11/2016
7,7.4,23,2016,12,12,Cheyenne NCore,41.18222711,-104.7783342,12/12/2016
8,9.1,23,2016,12,13,Cheyenne NCore,41.18222711,-104.7783342,12/13/2016
26,28.1,23,2016,12,15,Cheyenne NCore,41.18222711,-104.7783342,12/15/2016
6,6,23,2016,12,16,Cheyenne NCore,41.18222711,-104.7783342,12/16/2016
25,27,23,2016,12,17,Cheyenne NCore,41.18222711,-104.7783342,12/17/2016
23,24.8,22,2016,12,18,Cheyenne NCore,41.18222711,-104.7783342,12/18/2016
11,12.6,23,2016,12,19,Cheyenne NCore,41.18222711,-104.7783342,12/19/2016
4,4.8,23,2016,12,20,Cheyenne NCore,41.18222711,-104.7783342,12/20/2016
7,7.4,23,2016,12,21,Cheyenne NCore,41.18222711,-104.7783342,12/21/2016
29,31.7,23,2016,12,22,Cheyenne NCore,41.18222711,-104.7783342,12/22/2016
21,22.9,23,2016,12,23,Cheyenne NCore,41.18222711,-104.7783342,12/23/2016
21,22.4,23,2016,12,24,Cheyenne NCore,41.18222711,-104.7783342,12/24/2016
11,12.3,22,2016,12,25,Cheyenne NCore,41.18222711,-104.7783342,12/25/2016
6,6.8,23,2016,12,26,Cheyenne NCore,41.18222711,-104.7783342,12/26/2016
11,12.9,23,2016,12,27,Cheyenne NCore,41.18222711,-104.7783342,12/27/2016
1,1.1,23,2016,12,28,Cheyenne NCore,41.18222711,-104.7783342,12/28/2016
18,19.6,22,2016,12,29,Cheyenne NCore,41.18222711,-104.7783342,12/29/2016
6,6.1,23,2016,12,30,Cheyenne NCore,41.18222711,-104.7783342,12/30/2016
27,29,23,2018,1,1,Cheyenne NCore,41.18222711,-104.7783342,1/1/2018
5,5.6,23,2018,1,2,Cheyenne NCore,41.18222711,-104.7783342,1/2/2018
24,25.8,23,2018,1,3,Cheyenne NCore,41.18222711,-104.7783342,1/3/2018
26,28.7,23,2018,1,4,Cheyenne NCore,41.18222711,-104.7783342,1/4/2018
22,23.3,23,2018,1,5,Cheyenne NCore,41.18222711,-104.7783342,1/5/2018
18,19.9,23,2018,1,6,Cheyenne NCore,41.18222711,-104.7783342,1/6/2018
20,21.6,22,2018,1,7,Cheyenne NCore,41.18222711,-104.7783342,1/7/2018
31,33,23,2018,1,8,Cheyenne NCore,41.18222711,-104.7783342,1/8/2018
14,15.4,23,2018,1,9,Cheyenne NCore,41.18222711,-104.7783342,1/9/2018
10,11.6,23,2018,1,10,Cheyenne NCore,41.18222711,-104.7783342,1/10/2018
14,15.6,23,2018,1,11,Cheyenne NCore,41.18222711,-104.7783342,1/11/2018
20,21.3,23,2018,1,12,Cheyenne NCore,41.18222711,-104.7783342,1/12/2018
8,9.8,23,2018,1,13,Cheyenne NCore,41.18222711,-104.7783342,1/13/2018
3,3.7,22,2018,1,14,Cheyenne NCore,41.18222711,-104.7783342,1/14/2018
9,10.3,23,2018,1,15,Cheyenne NCore,41.18222711,-104.7783342,1/15/2018
28,30.8,23,2018,1,16,Cheyenne NCore,41.18222711,-104.7783342,1/16/2018
29,31.7,23,2018,1,17,Cheyenne NCore,41.18222711,-104.7783342,1/17/2018
22,23.2,22,2018,1,18,Cheyenne NCore,41.18222711,-104.7783342,1/18/2018
19,20.5,23,2018,1,19,Cheyenne NCore,41.18222711,-104.7783342,1/19/2018
18,19.8,23,2018,1,20,Cheyenne NCore,41.18222711,-104.7783342,1/20/2018
14,15,23,2018,1,23,Cheyenne NCore,41.18222711,-104.7783342,1/23/2018
25,26.1,23,2018,1,24,Cheyenne NCore,41.18222711,-104.7783342,1/24/2018
30,32.2,23,2018,1,25,Cheyenne NCore,41.18222711,-104.7783342,1/25/2018
3,3.1,23,2018,1,26,Cheyenne NCore,41.18222711,-104.7783342,1/26/2018
3,3.5,23,2018,1,27,Cheyenne NCore,41.18222711,-104.7783342,1/27/2018
15,16.6,22,2018,1,28,Cheyenne NCore,41.18222711,-104.7783342,1/28/2018
6,6.8,23,2018,1,29,Cheyenne NCore,41.18222711,-104.7783342,1/29/2018
2,2.9,23,2018,1,30,Cheyenne NCore,41.18222711,-104.7783342,1/30/2018
8,8.4,23,2018,1,31,Cheyenne NCore,41.18222711,-104.7783342,1/31/2018
12,13.1,23,2018,2,1,Cheyenne NCore,41.18222711,-104.7783342,2/1/2018
5,5.5,23,2018,2,3,Cheyenne NCore,41.18222711,-104.7783342,2/3/2018
8,9.6,22,2018,2,4,Cheyenne NCore,41.18222711,-104.7783342,2/4/2018
5,5.1,23,2018,2,5,Cheyenne NCore,41.18222711,-104.7783342,2/5/2018
1,1.1,23,2018,2,8,Cheyenne NCore,41.18222711,-104.7783342,2/8/2018
5,5.2,23,2018,2,9,Cheyenne NCore,41.18222711,-104.7783342,2/9/2018
6,6.3,23,2018,2,10,Cheyenne NCore,41.18222711,-104.7783342,2/10/2018
25,27.1,22,2018,2,11,Cheyenne NCore,41.18222711,-104.7783342,2/11/2018
12,13.1,23,2018,2,12,Cheyenne NCore,41.18222711,-104.7783342,2/12/2018
2,2.6,23,2018,2,14,Cheyenne NCore,41.18222711,-104.7783342,2/14/2018
2,2.8,23,2018,2,15,Cheyenne NCore,41.18222711,-104.7783342,2/15/2018
16,17.8,23,2018,2,16,Cheyenne NCore,41.18222711,-104.7783342,2/16/2018
14,15.4,23,2018,2,17,Cheyenne NCore,41.18222711,-104.7783342,2/17/2018
9,10.2,22,2018,2,18,Cheyenne NCore,41.18222711,-104.7783342,2/18/2018
2,2.4,23,2018,2,19,Cheyenne NCore,41.18222711,-104.7783342,2/19/2018
37,39.7,23,2018,2,20,Cheyenne NCore,41.18222711,-104.7783342,2/20/2018
25,27.7,23,2018,2,21,Cheyenne NCore,41.18222711,-104.7783342,2/21/2018
27,29.8,22,2018,2,22,Cheyenne NCore,41.18222711,-104.7783342,2/22/2018
17,18.4,23,2018,2,23,Cheyenne NCore,41.18222711,-104.7783342,2/23/2018
6,6.4,23,2018,2,24,Cheyenne NCore,41.18222711,-104.7783342,2/24/2018
3,3.9,22,2018,2,25,Cheyenne NCore,41.18222711,-104.7783342,2/25/2018
17,18.6,23,2018,2,26,Cheyenne NCore,41.18222711,-104.7783342,2/26/2018
9,10.7,23,2018,2,27,Cheyenne NCore,41.18222711,-104.7783342,2/27/2018
12,13.5,23,2018,2,28,Cheyenne NCore,41.18222711,-104.7783342,2/28/2018
26,28.5,23,2018,3,1,Cheyenne NCore,41.18222711,-104.7783342,3/1/2018
14,15.2,23,2018,3,2,Cheyenne NCore,41.18222711,-104.7783342,3/2/2018
13,14.1,23,2018,3,3,Cheyenne NCore,41.18222711,-104.7783342,3/3/2018
9,10.1,22,2018,3,4,Cheyenne NCore,41.18222711,-104.7783342,3/4/2018
1,1,23,2018,3,5,Cheyenne NCore,41.18222711,-104.7783342,3/5/2018
6,6.7,23,2018,3,6,Cheyenne NCore,41.18222711,-104.7783342,3/6/2018
19,20.5,23,2018,3,7,Cheyenne NCore,41.18222711,-104.7783342,3/7/2018
