NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
27,29,24,2018,12,1,Newark Firehouse,40.720989,-74.192892,12/1/2018
20,21,24,2018,12,4,Newark Firehouse,40.720989,-74.192892,12/4/2018
28,30,24,2018,12,7,Newark Firehouse,40.720989,-74.192892,12/7/2018
35,37,24,2018,12,10,Newark Firehouse,40.720989,-74.192892,12/10/2018
10,11,21,2018,12,16,Newark Firehouse,40.720989,-74.192892,12/16/2018
43,46,24,2018,12,19,Newark Firehouse,40.720989,-74.192892,12/19/2018
44,47,24,2018,12,22,Newark Firehouse,40.720989,-74.192892,12/22/2018
20,21,24,2018,12,25,Newark Firehouse,40.720989,-74.192892,12/25/2018
50,53,24,2018,12,28,Newark Firehouse,40.720989,-74.192892,12/28/2018
31,33.6,20,2018,1,2,QUEENS COLLEGE 2,40.73614,-73.82153,1/2/2018
38,40.2,24,2018,1,8,QUEENS COLLEGE 2,40.73614,-73.82153,1/8/2018
14,15.5,24,2018,1,14,QUEENS COLLEGE 2,40.73614,-73.82153,1/14/2018
44,47.4,24,2018,1,20,QUEENS COLLEGE 2,40.73614,-73.82153,1/20/2018
44,47.2,24,2018,1,26,QUEENS COLLEGE 2,40.73614,-73.82153,1/26/2018
42,45.4,24,2018,2,1,QUEENS COLLEGE 2,40.73614,-73.82153,2/1/2018
42,44.7,24,2018,2,7,QUEENS COLLEGE 2,40.73614,-73.82153,2/7/2018
42,45.7,24,2018,2,13,QUEENS COLLEGE 2,40.73614,-73.82153,2/13/2018
34,36.3,24,2018,2,25,QUEENS COLLEGE 2,40.73614,-73.82153,2/25/2018
8,9.3,24,2018,3,3,QUEENS COLLEGE 2,40.73614,-73.82153,3/3/2018
20,21,24,2018,3,9,QUEENS COLLEGE 2,40.73614,-73.82153,3/9/2018
20,21.5,24,2018,3,15,QUEENS COLLEGE 2,40.73614,-73.82153,3/15/2018
15,16.2,24,2018,3,21,QUEENS COLLEGE 2,40.73614,-73.82153,3/21/2018
38,40.9,24,2018,4,2,QUEENS COLLEGE 2,40.73614,-73.82153,4/2/2018
8,9.4,24,2018,4,8,QUEENS COLLEGE 2,40.73614,-73.82153,4/8/2018
