PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
56,66,1,2018,1,2,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
56,66,1,2018,1,2,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
20,22,1,2018,1,8,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
20,22,1,2018,1,8,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
17,18,1,2018,1,14,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
17,18,1,2018,1,14,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
8,9,1,2018,1,20,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
8,9,1,2018,1,20,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
21,23,1,2018,1,26,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
21,23,1,2018,1,26,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
51,55,1,2018,2,1,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
51,55,1,2018,2,1,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
28,30,1,2018,2,7,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
28,30,1,2018,2,7,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
13,14,1,2018,2,13,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
13,14,1,2018,2,13,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
19,21,1,2018,2,19,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
19,21,1,2018,2,19,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
16,17,1,2018,2,25,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
16,17,1,2018,2,25,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
25,27,1,2018,3,9,Los Angeles-North Main Street,34.06659,-118.22688,3/9/2018
10,11,1,2018,3,15,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
10,11,1,2018,3,15,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
17,18,1,2018,3,21,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
17,18,1,2018,3,21,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
23,25,1,2018,3,27,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
23,25,1,2018,3,27,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
20,22,1,2018,4,2,Los Angeles-North Main Street,34.06659,-118.22688,4/2/2018
22,24,1,2018,4,8,Los Angeles-North Main Street,34.06659,-118.22688,4/8/2018
32,35,1,2018,4,14,Los Angeles-North Main Street,34.06659,-118.22688,4/14/2018
