D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
,6,6,1,21,20,24,0.025,23,17,0.2,0,23,0.3,3,24,2018,12,25,Newark Firehouse,40.720989,-74.192892,12/25/2018
,10,9,1,53,50,24,0.013,12,17,1.1,1,24,0.4,5,24,2018,12,28,Newark Firehouse,40.720989,-74.192892,12/28/2018
,17,16,1,33.6,31,20,0.021,19,17,4.8,6,24,0.3,3,18,2018,01,02,QUEENS COLLEGE 2,40.73614,-73.82153,1/2/2018
,19,18,1,40.2,38,24,0.017,16,17,5.4,7,22,0.4,5,17,2018,01,08,QUEENS COLLEGE 2,40.73614,-73.82153,1/8/2018
,5,5,1,15.5,14,24,0.031,29,17,2.8,3,24,0.2,2,24,2018,01,14,QUEENS COLLEGE 2,40.73614,-73.82153,1/14/2018
,19,18,1,47.4,44,24,0.032,30,17,3.9,4,24,0.6,7,24,2018,01,20,QUEENS COLLEGE 2,40.73614,-73.82153,1/20/2018
,13,12,1,47.2,44,24,0.019,18,17,2,3,24,0.4,5,24,2018,01,26,QUEENS COLLEGE 2,40.73614,-73.82153,1/26/2018
,19,18,1,45.4,42,24,0.013,12,17,1.8,1,24,0.5,6,24,2018,02,01,QUEENS COLLEGE 2,40.73614,-73.82153,2/1/2018
,12,11,1,44.7,42,24,0.029,27,17,2.2,3,24,0.6,7,24,2018,02,07,QUEENS COLLEGE 2,40.73614,-73.82153,2/7/2018
,9,8,1,45.7,42,24,0.034,31,17,0.6,0,24,0.3,3,17,2018,02,13,QUEENS COLLEGE 2,40.73614,-73.82153,2/13/2018
,7,6,1,36.3,34,24,0.028,26,17,0.6,0,24,0.4,5,24,2018,02,25,QUEENS COLLEGE 2,40.73614,-73.82153,2/25/2018
,5,5,1,9.3,8,24,0.037,34,17,0.3,0,24,0.2,2,24,2018,03,03,QUEENS COLLEGE 2,40.73614,-73.82153,3/3/2018
,9,8,1,21,20,24,0.031,29,17,1.1,1,24,0.2,2,24,2018,03,09,QUEENS COLLEGE 2,40.73614,-73.82153,3/9/2018
,11,10,1,21.5,20,24,0.041,38,17,0.6,0,23,0.3,3,18,2018,03,15,QUEENS COLLEGE 2,40.73614,-73.82153,3/15/2018
,7,6,1,16.2,15,24,0.037,34,17,0.1,0,22,0.3,3,24,2018,03,21,QUEENS COLLEGE 2,40.73614,-73.82153,3/21/2018
,8,7,1,40.9,38,24,0.041,38,17,0.5,0,24,0.3,3,24,2018,04,02,QUEENS COLLEGE 2,40.73614,-73.82153,4/2/2018
,6,6,1,9.4,8,24,0.042,39,17,1.1,1,24,0.2,2,24,2018,04,08,QUEENS COLLEGE 2,40.73614,-73.82153,4/8/2018
,38,35,1,35.2,33,24,0.053,49,17,2.2,3,24,0.4,5,24,2018,04,14,QUEENS COLLEGE 2,40.73614,-73.82153,4/14/2018
,4,4,1,16.6,15,21,0.04,37,17,2.6,3,24,0.2,2,24,2018,04,20,QUEENS COLLEGE 2,40.73614,-73.82153,4/20/2018
,6,6,1,41.2,39,24,0.051,47,17,0.3,0,24,0.4,5,24,2018,04,26,QUEENS COLLEGE 2,40.73614,-73.82153,4/26/2018
,7,6,1,38.1,36,24,0.071,101,8,4.6,6,24,0.4,5,24,2018,05,02,QUEENS COLLEGE 2,40.73614,-73.82153,5/2/2018
,12,11,1,29.6,27,24,0.053,49,17,0.4,0,22,0.2,2,24,2018,05,08,QUEENS COLLEGE 2,40.73614,-73.82153,5/8/2018
,10,9,1,23.2,22,24,0.035,32,17,0.1,0,22,0.3,3,24,2018,05,14,QUEENS COLLEGE 2,40.73614,-73.82153,5/14/2018
,12,11,1,21.1,20,24,0.038,35,17,0.6,0,24,0.3,3,24,2018,05,20,QUEENS COLLEGE 2,40.73614,-73.82153,5/20/2018
,27,25,1,36.6,34,24,0.067,90,17,0.9,0,24,0.4,5,24,2018,05,26,QUEENS COLLEGE 2,40.73614,-73.82153,5/26/2018
,16,15,1,35,33,24,0.054,50,17,0.4,0,24,0.4,5,24,2018,06,02,QUEENS COLLEGE 2,40.73614,-73.82153,6/2/2018
,8,7,1,19.7,18,24,0.029,27,17,0.6,0,24,0.2,2,24,2018,06,07,QUEENS COLLEGE 2,40.73614,-73.82153,6/7/2018
,15,14,1,27.7,25,24,0.036,33,17,0.3,0,24,0.3,3,24,2018,06,13,QUEENS COLLEGE 2,40.73614,-73.82153,6/13/2018
,9,8,1,14.2,13,19,0.038,35,17,1.2,1,22,0.2,2,24,2018,06,25,QUEENS COLLEGE 2,40.73614,-73.82153,6/25/2018
,28,26,1,61.1,58,24,0.08,133,17,1.2,1,24,0.4,5,24,2018,07,01,QUEENS COLLEGE 2,40.73614,-73.82153,7/1/2018
,7,6,1,17.1,16,24,0.039,36,17,0.7,0,24,0.1,1,24,2018,07,07,QUEENS COLLEGE 2,40.73614,-73.82153,7/7/2018
,19,18,1,26.4,25,24,0.047,44,17,1,1,24,0.3,3,24,2018,07,13,QUEENS COLLEGE 2,40.73614,-73.82153,7/13/2018
,11,10,1,20.6,19,24,0.053,49,17,1.1,1,24,0.2,2,24,2018,07,19,QUEENS COLLEGE 2,40.73614,-73.82153,7/19/2018
,14,13,1,8.9,8,24,0.025,23,17,0.1,0,24,0.1,1,24,2018,07,25,QUEENS COLLEGE 2,40.73614,-73.82153,7/25/2018
