Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,19,5,17,19,0,3,5,1,18,24,0.021,17,0.1,24,0.3,24,2018,2,22,Newark Firehouse,40.720989,-74.192892,2/22/2018
Good,20,6,20,18,0,5,7,1,21,21,0.019,17,0.2,24,0.4,24,2018,2,25,Newark Firehouse,40.720989,-74.192892,2/25/2018
Good,41,13,41,31,0,5,14,1,43,24,0.034,17,0.6,24,0.4,24,2018,2,28,Newark Firehouse,40.720989,-74.192892,2/28/2018
Good,33,4,8,33,0,2,4,1,8,24,0.036,17,0,24,0.2,24,2018,3,3,Newark Firehouse,40.720989,-74.192892,3/3/2018
Good,33,11,33,31,0,5,12,1,35,24,0.033,17,0.7,24,0.4,24,2018,3,6,Newark Firehouse,40.720989,-74.192892,3/6/2018
Good,31,7,24,31,0,3,8,1,25,24,0.033,17,0.8,24,0.3,24,2018,3,9,Newark Firehouse,40.720989,-74.192892,3/9/2018
Good,30,10,25,30,0,5,11,1,26,24,0.032,17,0.5,23,0.4,24,2018,3,12,Newark Firehouse,40.720989,-74.192892,3/12/2018
Good,39,11,15,39,0,3,12,1,16,24,0.042,17,0.5,24,0.3,24,2018,3,15,Newark Firehouse,40.720989,-74.192892,3/15/2018
Good,33,7,13,33,0,3,8,1,14,24,0.036,17,0.1,24,0.3,24,2018,3,21,Newark Firehouse,40.720989,-74.192892,3/21/2018
Good,42,6,9,42,0,2,7,1,10,24,0.045,17,0.1,24,0.2,24,2018,3,24,Newark Firehouse,40.720989,-74.192892,3/24/2018
Good,36,20,36,24,0,6,22,1,38,24,0.026,17,0.7,24,0.5,24,2018,3,27,Newark Firehouse,40.720989,-74.192892,3/27/2018
Good,43,19,43,32,3,10,21,1,46,24,0.035,17,2.2,24,0.9,24,2018,3,30,Newark Firehouse,40.720989,-74.192892,3/30/2018
Good,37,9,37,32,0,5,10,1,39,24,0.035,17,0.8,23,0.4,24,2018,4,2,Newark Firehouse,40.720989,-74.192892,4/2/2018
Good,40,6,37,40,0,3,6,1,39,24,0.043,17,0.4,24,0.3,24,2018,4,5,Newark Firehouse,40.720989,-74.192892,4/5/2018
Good,40,6,8,40,0,2,6,1,9,21,0.043,17,0.2,24,0.2,24,2018,4,8,Newark Firehouse,40.720989,-74.192892,4/8/2018
Good,40,19,40,36,1,7,20,1,42,24,0.039,17,1.4,24,0.6,24,2018,4,11,Newark Firehouse,40.720989,-74.192892,4/11/2018
Good,48,35,23,48,1,5,38,1,24,24,0.052,17,1.4,24,0.4,24,2018,4,14,Newark Firehouse,40.720989,-74.192892,4/14/2018
Good,29,3,8,29,0,2,3,1,9,24,0.031,17,0.3,24,0.2,24,2018,4,17,Newark Firehouse,40.720989,-74.192892,4/17/2018
Good,32,5,8,32,0,3,5,1,9,21,0.035,17,0.1,24,0.3,24,2018,4,29,Newark Firehouse,40.720989,-74.192892,4/29/2018
Good,37,15,29,37,0,3,16,1,31,24,0.04,17,0.9,24,0.3,24,2018,5,8,Newark Firehouse,40.720989,-74.192892,5/8/2018
Good,46,9,25,46,0,5,10,1,26,24,0.05,17,0,24,0.4,24,2018,5,11,Newark Firehouse,40.720989,-74.192892,5/11/2018
Good,36,11,36,25,0,3,12,1,38,24,0.027,17,0.5,23,0.3,24,2018,5,14,Newark Firehouse,40.720989,-74.192892,5/14/2018
Good,25,7,25,20,0,6,8,1,27,24,0.022,17,0,24,0.5,24,2018,5,17,Newark Firehouse,40.720989,-74.192892,5/17/2018
Good,34,10,22,34,0,7,11,1,23,21,0.037,17,0.1,24,0.6,24,2018,5,20,Newark Firehouse,40.720989,-74.192892,5/20/2018
Moderate Pollution,67,21,20,67,0,5,23,1,21,24,0.06,17,0.4,24,0.4,24,2018,5,26,Newark Firehouse,40.720989,-74.192892,5/26/2018
Good,39,14,39,29,0,5,15,1,41,24,0.031,17,0.5,24,0.4,24,2018,6,1,Newark Firehouse,40.720989,-74.192892,6/1/2018
Good,23,12,23,22,0,2,13,1,24,24,0.024,17,0.5,24,0.2,24,2018,6,7,Newark Firehouse,40.720989,-74.192892,6/7/2018
Good,24,12,24,24,0,5,13,1,25,21,0.026,17,0.5,24,0.4,24,2018,6,10,Newark Firehouse,40.720989,-74.192892,6/10/2018
Good,36,15,18,36,0,3,16,1,19,24,0.039,17,0.6,24,0.3,24,2018,6,13,Newark Firehouse,40.720989,-74.192892,6/13/2018
Good,41,11,20,41,0,5,12,1,21,24,0.044,17,0.5,24,0.4,24,2018,6,16,Newark Firehouse,40.720989,-74.192892,6/16/2018
Good,38,10,11,38,0,3,11,1,12,24,0.041,17,0.1,24,0.3,24,2018,6,19,Newark Firehouse,40.720989,-74.192892,6/19/2018
Good,32,13,21,32,0,3,14,1,22,24,0.035,17,0.6,24,0.3,24,2018,6,22,Newark Firehouse,40.720989,-74.192892,6/22/2018
Good,34,6,11,34,0,2,7,1,12,24,0.037,17,0.1,23,0.2,24,2018,6,25,Newark Firehouse,40.720989,-74.192892,6/25/2018
Good,44,11,27,44,0,3,12,1,29,24,0.047,17,0.1,24,0.3,24,2018,6,28,Newark Firehouse,40.720989,-74.192892,6/28/2018
Good,40,21,23,40,0,5,23,1,24,21,0.043,17,0.1,23,0.4,24,2018,7,4,Newark Firehouse,40.720989,-74.192892,7/4/2018
Good,38,8,12,38,0,2,9,1,13,24,0.041,17,0.4,24,0.2,24,2018,7,7,Newark Firehouse,40.720989,-74.192892,7/7/2018
Moderate Pollution,133,18,27,133,0,3,19,1,29,24,0.08,17,0.6,24,0.3,24,2018,7,10,Newark Firehouse,40.720989,-74.192892,7/10/2018
Moderate Pollution,61,22,28,61,1,5,24,1,30,24,0.058,17,1.1,24,0.4,24,2018,7,13,Newark Firehouse,40.720989,-74.192892,7/13/2018
Moderate Pollution,90,20,19,90,0,3,22,1,20,24,0.067,17,0.6,23,0.3,24,2018,7,16,Newark Firehouse,40.720989,-74.192892,7/16/2018
Good,50,13,14,50,0,2,14,1,15,24,0.054,17,0.5,24,0.2,24,2018,7,19,Newark Firehouse,40.720989,-74.192892,7/19/2018
Good,25,17,11,25,0,2,18,1,12,21,0.027,17,0,24,0.2,24,2018,7,22,Newark Firehouse,40.720989,-74.192892,7/22/2018
Good,39,13,25,39,0,5,14,1,26,21,0.042,17,0.7,23,0.4,24,2018,7,31,Newark Firehouse,40.720989,-74.192892,7/31/2018
Good,26,13,26,23,0,3,14,1,28,21,0.025,17,0,24,0.3,24,2018,8,3,Newark Firehouse,40.720989,-74.192892,8/3/2018
Moderate Pollution,71,22,27,71,0,5,24,1,29,19,0.061,17,0.1,23,0.4,24,2018,8,6,Newark Firehouse,40.720989,-74.192892,8/6/2018
Good,47,12,18,47,0,3,13,1,19,24,0.051,17,0,24,0.3,24,2018,8,9,Newark Firehouse,40.720989,-74.192892,8/9/2018
Good,47,13,18,47,0,6,14,1,19,21,0.051,17,0,24,0.5,24,2018,8,12,Newark Firehouse,40.720989,-74.192892,8/12/2018
Good,43,20,15,43,0,5,22,1,16,24,0.046,17,0.2,24,0.4,24,2018,8,15,Newark Firehouse,40.720989,-74.192892,8/15/2018
Good,41,15,11,41,0,3,16,1,12,24,0.044,17,0,24,0.3,24,2018,8,18,Newark Firehouse,40.720989,-74.192892,8/18/2018
Good,26,12,26,22,0,2,13,1,28,24,0.024,17,0.3,24,0.2,24,2018,8,21,Newark Firehouse,40.720989,-74.192892,8/21/2018
Good,50,19,25,50,0,5,20,1,26,24,0.054,17,0.3,24,0.4,24,2018,8,24,Newark Firehouse,40.720989,-74.192892,8/24/2018
Moderate Pollution,58,22,28,58,0,5,24,1,30,24,0.057,17,0.5,23,0.4,24,2018,8,27,Newark Firehouse,40.720989,-74.192892,8/27/2018
Good,38,13,20,38,0,3,14,1,21,24,0.041,17,0.1,24,0.3,24,2018,8,30,Newark Firehouse,40.720989,-74.192892,8/30/2018
Good,34,13,19,34,0,5,14,1,20,21,0.037,17,0.8,24,0.4,24,2018,9,2,Newark Firehouse,40.720989,-74.192892,9/2/2018
Good,44,10,37,44,0,5,11,1,39,24,0.048,17,0.2,24,0.4,24,2018,9,5,Newark Firehouse,40.720989,-74.192892,9/5/2018
Good,21,9,8,21,0,3,10,1,9,24,0.023,17,0.1,24,0.3,24,2018,9,8,Newark Firehouse,40.720989,-74.192892,9/8/2018
Good,27,9,27,5,0,7,10,1,29,24,0.005,17,0.4,24,0.6,24,2018,9,11,Newark Firehouse,40.720989,-74.192892,9/11/2018
Good,25,9,25,14,0,3,10,1,26,24,0.015,17,0.4,24,0.3,24,2018,9,14,Newark Firehouse,40.720989,-74.192892,9/14/2018
Good,28,14,28,18,0,6,15,1,30,24,0.019,17,0.4,23,0.5,24,2018,9,17,Newark Firehouse,40.720989,-74.192892,9/17/2018
Good,23,10,23,19,0,3,11,1,24,24,0.021,17,0.5,23,0.3,24,2018,9,20,Newark Firehouse,40.720989,-74.192892,9/20/2018
Good,18,6,11,18,0,3,7,1,12,21,0.019,17,0.1,24,0.3,24,2018,9,23,Newark Firehouse,40.720989,-74.192892,9/23/2018
Good,26,11,17,26,0,3,12,1,18,24,0.028,17,0,24,0.3,24,2018,9,26,Newark Firehouse,40.720989,-74.192892,9/26/2018
Good,34,9,25,34,0,6,10,1,26,24,0.037,17,0.3,24,0.5,24,2018,9,29,Newark Firehouse,40.720989,-74.192892,9/29/2018
Good,36,15,24,36,0,3,16,1,25,24,0.039,17,0.1,24,0.3,24,2018,10,2,Newark Firehouse,40.720989,-74.192892,10/2/2018
Good,22,11,22,21,0,6,12,1,23,24,0.023,17,0.5,24,0.5,24,2018,10,5,Newark Firehouse,40.720989,-74.192892,10/5/2018
Good,19,13,19,5,0,9,14,1,20,24,0.005,17,0.1,23,0.8,24,2018,10,8,Newark Firehouse,40.720989,-74.192892,10/8/2018
Good,25,11,25,18,0,3,12,1,26,24,0.019,17,0.1,24,0.3,24,2018,10,11,Newark Firehouse,40.720989,-74.192892,10/11/2018
Good,28,8,22,28,0,3,9,1,23,24,0.03,17,0.6,24,0.3,24,2018,10,17,Newark Firehouse,40.720989,-74.192892,10/17/2018
Good,31,8,31,25,0,6,9,1,33,24,0.027,17,0.8,24,0.5,24,2018,10,20,Newark Firehouse,40.720989,-74.192892,10/20/2018
Good,34,11,34,30,4,6,12,1,36,24,0.032,17,3.7,24,0.5,24,2018,10,23,Newark Firehouse,40.720989,-74.192892,10/23/2018
Good,29,9,29,23,1,5,10,1,31,24,0.025,17,1.2,24,0.4,24,2018,10,26,Newark Firehouse,40.720989,-74.192892,10/26/2018
Good,25,5,25,19,0,3,5,1,27,24,0.021,17,0.2,23,0.3,24,2018,10,29,Newark Firehouse,40.720989,-74.192892,10/29/2018
Moderate Pollution,53,22,53,28,1,6,24,1,56,24,0.03,17,1.7,24,0.5,24,2018,11,1,Newark Firehouse,40.720989,-74.192892,11/1/2018
Good,33,6,33,23,0,6,7,1,35,21,0.025,17,0.7,24,0.5,24,2018,11,4,Newark Firehouse,40.720989,-74.192892,11/4/2018
Good,25,6,25,23,0,5,7,1,26,24,0.025,17,0.5,24,0.4,24,2018,11,7,Newark Firehouse,40.720989,-74.192892,11/7/2018
Good,28,4,24,28,0,3,4,1,25,24,0.03,17,0.5,24,0.3,24,2018,11,10,Newark Firehouse,40.720989,-74.192892,11/10/2018
Good,34,6,34,23,0,6,6,1,36,24,0.025,17,0.3,24,0.5,24,2018,11,13,Newark Firehouse,40.720989,-74.192892,11/13/2018
Good,26,4,19,26,0,3,4,1,20,24,0.028,17,0.6,24,0.3,24,2018,11,16,Newark Firehouse,40.720989,-74.192892,11/16/2018
Good,43,24,43,12,0,14,26,1,46,24,0.013,17,0.7,23,1.2,24,2018,11,19,Newark Firehouse,40.720989,-74.192892,11/19/2018
Good,31,3,8,31,0,2,3,1,9,24,0.033,17,0,24,0.2,24,2018,11,22,Newark Firehouse,40.720989,-74.192892,11/22/2018
Good,31,6,31,29,0,7,7,1,33,21,0.031,17,0.1,24,0.6,24,2018,11,25,Newark Firehouse,40.720989,-74.192892,11/25/2018
Good,20,3,8,20,0,2,3,1,9,24,0.022,17,0.4,24,0.2,24,2018,11,28,Newark Firehouse,40.720989,-74.192892,11/28/2018
Good,27,12,27,10,0,7,13,1,29,24,0.011,17,0.7,24,0.6,24,2018,12,1,Newark Firehouse,40.720989,-74.192892,12/1/2018
Good,28,2,20,28,0,3,2,1,21,24,0.03,17,0,24,0.3,24,2018,12,4,Newark Firehouse,40.720989,-74.192892,12/4/2018
Good,28,6,28,26,0,3,6,1,30,24,0.028,17,0.4,24,0.3,24,2018,12,7,Newark Firehouse,40.720989,-74.192892,12/7/2018
Good,35,13,35,23,0,6,14,1,37,24,0.025,17,0.5,23,0.5,24,2018,12,10,Newark Firehouse,40.720989,-74.192892,12/10/2018
Good,20,5,10,20,0,5,5,1,11,21,0.022,17,0,24,0.4,24,2018,12,16,Newark Firehouse,40.720989,-74.192892,12/16/2018
Good,43,14,43,16,1,9,15,1,46,24,0.017,17,1.2,24,0.8,24,2018,12,19,Newark Firehouse,40.720989,-74.192892,12/19/2018
Good,44,6,44,23,0,5,7,1,47,24,0.025,17,0.7,23,0.4,24,2018,12,22,Newark Firehouse,40.720989,-74.192892,12/22/2018
Good,23,6,20,23,0,3,6,1,21,24,0.025,17,0.2,23,0.3,24,2018,12,25,Newark Firehouse,40.720989,-74.192892,12/25/2018
Good,50,9,50,12,1,5,10,1,53,24,0.013,17,1.1,24,0.4,24,2018,12,28,Newark Firehouse,40.720989,-74.192892,12/28/2018
Good,31,16,31,19,6,3,17,1,33.6,20,0.021,17,4.8,24,0.3,18,2018,1,2,QUEENS COLLEGE 2,40.73614,-73.82153,1/2/2018
Good,38,18,38,16,7,5,19,1,40.2,24,0.017,17,5.4,22,0.4,17,2018,1,8,QUEENS COLLEGE 2,40.73614,-73.82153,1/8/2018
Good,29,5,14,29,3,2,5,1,15.5,24,0.031,17,2.8,24,0.2,24,2018,1,14,QUEENS COLLEGE 2,40.73614,-73.82153,1/14/2018
Good,44,18,44,30,4,7,19,1,47.4,24,0.032,17,3.9,24,0.6,24,2018,1,20,QUEENS COLLEGE 2,40.73614,-73.82153,1/20/2018
Good,44,12,44,18,3,5,13,1,47.2,24,0.019,17,2,24,0.4,24,2018,1,26,QUEENS COLLEGE 2,40.73614,-73.82153,1/26/2018
Good,42,18,42,12,1,6,19,1,45.4,24,0.013,17,1.8,24,0.5,24,2018,2,1,QUEENS COLLEGE 2,40.73614,-73.82153,2/1/2018
Good,42,11,42,27,3,7,12,1,44.7,24,0.029,17,2.2,24,0.6,24,2018,2,7,QUEENS COLLEGE 2,40.73614,-73.82153,2/7/2018
Good,42,8,42,31,0,3,9,1,45.7,24,0.034,17,0.6,24,0.3,17,2018,2,13,QUEENS COLLEGE 2,40.73614,-73.82153,2/13/2018
Good,34,6,34,26,0,5,7,1,36.3,24,0.028,17,0.6,24,0.4,24,2018,2,25,QUEENS COLLEGE 2,40.73614,-73.82153,2/25/2018
Good,34,5,8,34,0,2,5,1,9.3,24,0.037,17,0.3,24,0.2,24,2018,3,3,QUEENS COLLEGE 2,40.73614,-73.82153,3/3/2018
Good,29,8,20,29,1,2,9,1,21,24,0.031,17,1.1,24,0.2,24,2018,3,9,QUEENS COLLEGE 2,40.73614,-73.82153,3/9/2018
Good,38,10,20,38,0,3,11,1,21.5,24,0.041,17,0.6,23,0.3,18,2018,3,15,QUEENS COLLEGE 2,40.73614,-73.82153,3/15/2018
Good,34,6,15,34,0,3,7,1,16.2,24,0.037,17,0.1,22,0.3,24,2018,3,21,QUEENS COLLEGE 2,40.73614,-73.82153,3/21/2018
Good,38,7,38,38,0,3,8,1,40.9,24,0.041,17,0.5,24,0.3,24,2018,4,2,QUEENS COLLEGE 2,40.73614,-73.82153,4/2/2018
Good,39,6,8,39,1,2,6,1,9.4,24,0.042,17,1.1,24,0.2,24,2018,4,8,QUEENS COLLEGE 2,40.73614,-73.82153,4/8/2018
Good,49,35,33,49,3,5,38,1,35.2,24,0.053,17,2.2,24,0.4,24,2018,4,14,QUEENS COLLEGE 2,40.73614,-73.82153,4/14/2018
Good,37,4,15,37,3,2,4,1,16.6,21,0.04,17,2.6,24,0.2,24,2018,4,20,QUEENS COLLEGE 2,40.73614,-73.82153,4/20/2018
