D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
,2,2,1,23.1,22,24,0.034,31,17,0.6,0,22,0.2,2,24,2020,01,07,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
,2,2,1,17,16,23,0.032,30,17,0.5,0,22,0.3,3,24,2020,01,10,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
,7,6,1,20.1,19,24,0.026,24,14,0.5,0,24,0.2,2,24,2020,01,13,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
,7,6,1,22.1,21,24,0.029,27,17,0.5,0,24,0.3,3,24,2020,01,16,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
,4,4,1,28.4,26,24,0.031,29,17,0.8,0,22,0.3,3,24,2020,01,19,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
,3,3,1,20.7,19,23,0.019,18,17,0.5,0,24,0.3,3,24,2020,01,22,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
,3,3,1,13.1,12,24,0.021,19,17,0.4,0,24,0.2,2,24,2020,01,25,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
,4,4,1,20.7,19,24,0.024,22,17,0.6,0,24,0.3,3,24,2020,01,28,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
,2,2,1,13.2,12,24,0.034,31,17,0.5,0,22,0.3,3,24,2020,01,31,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
,6,6,1,22.9,21,23,0.03,28,17,0.6,0,24,0.3,3,24,2020,02,03,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
,3,3,1,35.3,33,24,0.02,19,17,0.9,0,24,0.3,3,24,2020,02,06,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
,9,8,1,20.8,19,24,0.021,19,17,2.1,3,24,0.3,3,24,2020,02,09,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
,3,3,1,14.5,13,23,0.033,31,17,0.5,0,20,0.2,2,24,2020,02,15,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
,6,6,1,16.3,15,24,0.026,24,17,0.5,0,24,0.3,3,24,2020,02,18,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
,10,9,1,25.3,24,24,0.028,26,17,1.9,1,24,0.3,3,24,2020,02,21,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
,14,13,1,15.2,14,24,0.036,33,17,0.4,0,22,0.2,2,24,2020,02,24,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
,10,9,1,34.6,32,23,0.022,20,17,1.4,1,24,0.3,3,24,2020,02,27,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
,8,7,1,12.2,11,24,0.032,30,17,0.7,0,24,0.2,2,24,2020,03,01,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
,15,14,1,19.7,18,24,0.034,31,17,1,1,24,0.3,3,24,2020,03,04,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
,11,10,1,17.7,16,24,0.031,29,17,1,1,24,0.2,2,24,2020,08,07,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
,11,10,1,23.6,22,24,0.029,27,17,1.6,1,22,0.2,2,24,2020,08,10,SEATTLE - BEACON HILL,47.568236,-122.308628,8/10/2020
,11,10,1,12.5,11,23,0.039,36,17,1,1,24,0.2,2,24,2020,08,13,SEATTLE - BEACON HILL,47.568236,-122.308628,8/13/2020
,16,15,1,28,26,24,0.051,47,17,4.3,6,24,0.3,3,24,2020,08,16,SEATTLE - BEACON HILL,47.568236,-122.308628,8/16/2020
,10,9,1,28.1,26,24,0.03,28,17,1.6,1,24,0.2,2,24,2020,08,19,SEATTLE - BEACON HILL,47.568236,-122.308628,8/19/2020
,8,7,1,6.1,6,24,0.033,31,17,0.9,0,22,0.2,2,24,2020,08,22,SEATTLE - BEACON HILL,47.568236,-122.308628,8/22/2020
