Ozone AQI,Year,Month,Day,OZONE-WEIGHT,Flag
38,2018,10,18,17,0
39,2018,10,23,17,0
42,2018,10,24,17,0
38,2018,10,25,17,0
41,2018,10,26,17,0
36,2018,10,30,17,0
35,2018,10,31,17,0
37,2018,11,1,17,0
32,2018,11,2,17,0
31,2018,11,3,17,0
38,2018,11,4,17,0
41,2018,11,5,17,0
40,2018,11,6,17,0
31,2018,11,7,17,0
32,2018,11,8,17,0
31,2018,11,9,17,0
44,2018,11,10,17,0
37,2018,11,11,17,0
35,2018,11,12,17,0
35,2018,11,13,17,0
36,2018,11,14,17,0
35,2018,11,15,13,0
43,2018,11,16,17,0
21,2018,11,17,17,0
39,2018,11,18,17,0
38,2018,11,19,17,0
39,2018,11,20,17,0
42,2018,11,21,17,0
39,2018,11,22,17,0
38,2018,11,23,17,0
38,2018,11,24,17,0
36,2018,11,25,17,0
38,2018,11,26,17,0
42,2018,11,27,17,0
38,2018,11,28,17,0
31,2018,11,29,17,0
32,2018,12,1,17,0
32,2018,12,2,17,0
31,2018,12,3,17,0
40,2018,12,4,17,0
42,2018,12,5,17,0
29,2018,12,6,17,0
31,2018,12,7,17,0
40,2018,12,8,17,0
41,2018,12,9,17,0
44,2018,12,10,17,0
40,2018,12,11,17,0
39,2018,12,12,17,0
36,2018,12,13,17,0
34,2018,12,14,17,0
40,2018,12,15,17,0
37,2018,12,16,17,0
39,2018,12,17,14,0
38,2018,12,18,17,0
36,2018,12,19,17,0
38,2018,12,20,17,0
37,2018,12,21,17,0
37,2018,12,22,17,0
40,2018,12,23,17,0
36,2018,12,24,17,0
32,2018,12,25,17,0
27,2018,12,26,17,0
33,2018,12,27,17,0
31,2018,12,28,17,0
38,2018,12,29,17,0
37,2018,12,30,17,0
33,2020,1,1,17,0
32,2020,1,2,17,0
31,2020,1,3,17,0
32,2020,1,4,17,0
31,2020,1,9,17,0
28,2020,1,10,17,0
36,2020,1,11,17,0
33,2020,1,12,17,0
34,2020,1,13,17,0
37,2020,1,14,17,0
34,2020,1,15,17,0
34,2020,1,17,17,0
38,2020,1,18,17,0
34,2020,1,19,17,0
33,2020,1,20,14,0
30,2020,1,21,17,0
38,2020,1,22,17,0
35,2020,1,23,17,0
31,2020,1,24,17,0
31,2020,1,25,17,0
33,2020,1,26,17,0
36,2020,1,28,15,0
30,2020,1,29,17,0
34,2020,1,30,17,0
34,2020,1,31,17,0
39,2020,2,1,17,0
39,2020,2,2,17,0
30,2020,2,3,17,0
32,2020,2,6,17,0
33,2020,2,7,17,0
